set,ACC,AUC,Sensitivity,Specificity,PPV,NPV,F1,Balanced_ACC,n,threshold
External_test,0.8095238095238095,0.8365384615384616,0.9230769230769231,0.625,0.8,0.8333333333333334,0.8571428571428571,0.7740384615384616,21,0.25000000000000006
V2_generalization,0.8260869565217391,0.7058823529411764,0.8907563025210085,0.42105263157894735,0.905982905982906,0.38095238095238093,0.8983050847457628,0.6559044670499778,138,0.25000000000000006
