set,ACC,AUC,Sensitivity,Specificity,PPV,NPV,F1,Balanced_ACC,n,threshold
V2_val,0.9285714285714286,0.8333333333333334,1.0,0.5,0.9230769230769231,1.0,0.96,0.75,28,0.5500000000000002
External,0.6504854368932039,0.8221872541306059,0.9838709677419355,0.14634146341463414,0.6354166666666666,0.8571428571428571,0.7721518987341772,0.5651062155782848,103,0.5500000000000002
