set,ACC,AUC,Sensitivity,Specificity,PPV,NPV,F1,Balanced_ACC,n,threshold
V2_test,0.9285714285714286,0.8229166666666666,1.0,0.5,0.9230769230769231,1.0,0.96,0.75,28,0.5500000000000002
External,0.6213592233009708,0.8001573564122737,0.9516129032258065,0.12195121951219512,0.6210526315789474,0.625,0.7515923566878981,0.5367820613690009,103,0.5500000000000002
